cod;nome;período;de-homens-por-armas-de-fogo;de-jovens-homens;de-jovens-mulheres;de-jovens-por-armas-de-fogo;de-jovens;de-mulheres-por-armas-de-fogo;homens-nao-negros;homens-negros;homens;homicidios;mulheres-nao-negras;mulheres-negras;mulheres;nao-negros;negros;por-armas-de-fogo
12;AC;1996;56.0;42;7;28.0;49.0;5.0;1.0;0.0;89.0;104.0;0.0;0.0;15.0;1.0;0.0;61
12;AC;1997;49.0;55;4;37.0;59.0;6.0;7.0;3.0;86.0;100.0;0.0;3.0;14.0;7.0;6.0;55
12;AC;1998;53.0;55;4;34.0;59.0;5.0;10.0;21.0;98.0;110.0;1.0;1.0;12.0;11.0;22.0;58
12;AC;1999;12.0;22;4;6.0;26.0;2.0;12.0;15.0;44.0;51.0;3.0;2.0;7.0;15.0;17.0;14
12;AC;2000;35.0;58;9;21.0;67.0;4.0;44.0;44.0;93.0;106.0;5.0;7.0;13.0;49.0;51.0;39
12;AC;2001;51.0;64;8;36.0;72.0;3.0;31.0;65.0;109.0;121.0;4.0;5.0;12.0;35.0;70.0;54
12;AC;2002;63.0;84;6;40.0;90.0;3.0;43.0;92.0;140.0;151.0;3.0;8.0;11.0;46.0;100.0;66
12;AC;2003;52.0;69;9;31.0;78.0;5.0;35.0;91.0;132.0;147.0;6.0;7.0;15.0;41.0;98.0;57
12;AC;2004;42.0;71;4;31.0;75.0;7.0;24.0;73.0;104.0;114.0;3.0;7.0;10.0;27.0;80.0;49
12;AC;2005;35.0;60;7;18.0;67.0;1.0;26.0;79.0;111.0;124.0;5.0;8.0;13.0;31.0;87.0;36
12;AC;2006;48.0;81;4;23.0;85.0;2.0;36.0;94.0;143.0;158.0;6.0;8.0;15.0;42.0;102.0;50
12;AC;2007;47.0;64;8;30.0;72.0;4.0;26.0;82.0;119.0;137.0;8.0;9.0;18.0;34.0;91.0;51
12;AC;2008;40.0;71;5;27.0;76.0;0.0;18.0;69.0;120.0;133.0;5.0;5.0;13.0;23.0;74.0;40
12;AC;2009;59.0;72;6;33.0;78.0;2.0;10.0;97.0;137.0;153.0;6.0;6.0;16.0;16.0;103.0;61
12;AC;2010;56.0;67;7;34.0;74.0;7.0;25.0;83.0;146.0;165.0;3.0;13.0;19.0;28.0;96.0;63
12;AC;2011;45.0;64;9;26.0;73.0;5.0;12.0;88.0;146.0;164.0;4.0;11.0;18.0;16.0;99.0;50
12;AC;2012;81.0;95;6;45.0;101.0;4.0;17.0;157.0;192.0;208.0;1.0;14.0;16.0;18.0;171.0;85
12;AC;2013;86.0;107;12;58.0;119.0;9.0;20.0;165.0;202.0;234.0;3.0;29.0;32.0;23.0;194.0;95
12;AC;2014;109.0;101;10;59.0;111.0;6.0;35.0;171.0;212.0;232.0;4.0;16.0;20.0;39.0;187.0;115
12;AC;2015;111.0;94;11;65.0;105.0;5.0;25.0;169.0;198.0;217.0;5.0;14.0;19.0;30.0;183.0;116
12;AC;2016;215.0;181;13;127.0;194.0;11.0;39.0;288.0;340.0;363.0;4.0;19.0;23.0;43.0;307.0;226
12;AC;2017;366.0;281;16;236.0;297.0;17.0;68.0;404.0;481.0;516.0;9.0;24.0;34.0;77.0;428.0;384
12;AC;2018;289.0;222;13;189.0;235.0;22.0;43.0;322.0;374.0;409.0;6.0;28.0;35.0;49.0;350.0;311
12;AC;2019;205.0;163;11;123.0;174.0;17.0;30.0;252.0;290.0;325.0;5.0;25.0;32.0;35.0;277.0;222
12;AC;2020;211.0;149;15;134.0;164.0;16.0;32.0;232.0;273.0;304.0;6.0;21.0;27.0;38.0;253.0;228
12;AC;2021;112.0;84;10;67.0;94.0;6.0;18.0;158.0;176.0;205.0;2.0;26.0;28.0;20.0;184.0;118
27;AL;1996;472.0;295;32;233.0;327.0;43.0;0.0;0.0;671.0;741.0;0.0;0.0;70.0;0.0;0.0;515
27;AL;1997;436.0;225;33;196.0;258.0;43.0;43.0;124.0;580.0;642.0;4.0;8.0;62.0;47.0;132.0;479
