cod;nome;período;de-homens-por-armas-de-fogo;de-jovens-homens;de-jovens-mulheres;de-jovens-por-armas-de-fogo;de-jovens;de-mulheres-por-armas-de-fogo;homens-nao-negros;homens-negros;homens;homicidios;mulheres-nao-negras;mulheres-negras;mulheres;nao-negros;negros;por-armas-de-fogo
12;AC;1979;;14;0;;;;;;;;;;;;;13
12;AC;1980;;14;2;;;;;;;;;;;;;12
12;AC;1981;;13;1;;;;;;;;;;;;;8
12;AC;1982;;16;2;;;;;;;;;;;;;18
12;AC;1983;;16;3;;;;;;;;;;;;;12
12;AC;1984;;13;3;;;;;;;;;;;;;13
12;AC;1985;;27;2;;;;;;;;;;;;;23
12;AC;1986;;24;2;;;;;;;;;;;;;25
12;AC;1987;;42;9;;;;;;;;;;;;;51
12;AC;1988;;31;3;;;;;;;;;;;;;43
12;AC;1989;45.0;52;4;28.0;56.0;3.0;;;89.0;95.0;;;6.0;;;48
12;AC;1990;29.0;29;4;18.0;33.0;4.0;;;58.0;64.0;;;6.0;;;33
12;AC;1991;56.0;53;6;38.0;59.0;7.0;;;97.0;106.0;;;9.0;;;63
12;AC;1992;46.0;51;10;34.0;61.0;7.0;;;94.0;107.0;;;13.0;;;53
12;AC;1993;55.0;62;3;36.0;66.0;5.0;;;101.0;116.0;;;12.0;;;61
12;AC;1994;36.0;43;5;23.0;48.0;5.0;;;77.0;88.0;;;11.0;;;41
12;AC;1995;48.0;47;5;32.0;52.0;9.0;;;86.0;103.0;;;16.0;;;57
12;AC;1996;56.0;42;7;28.0;49.0;5.0;1.0;0.0;89.0;104.0;0.0;0.0;15.0;1.0;0.0;61
12;AC;1997;49.0;55;4;37.0;59.0;6.0;7.0;3.0;86.0;100.0;0.0;3.0;14.0;7.0;6.0;55
12;AC;1998;53.0;55;4;34.0;59.0;5.0;10.0;21.0;98.0;110.0;1.0;1.0;12.0;11.0;22.0;58
12;AC;1999;12.0;22;4;6.0;26.0;2.0;12.0;15.0;44.0;51.0;3.0;2.0;7.0;15.0;17.0;14
12;AC;2000;35.0;58;9;21.0;67.0;4.0;44.0;44.0;93.0;106.0;5.0;7.0;13.0;49.0;51.0;39
12;AC;2001;51.0;64;8;36.0;72.0;3.0;31.0;65.0;109.0;121.0;4.0;5.0;12.0;35.0;70.0;54
12;AC;2002;63.0;84;6;40.0;90.0;3.0;43.0;92.0;140.0;151.0;3.0;8.0;11.0;46.0;100.0;66
12;AC;2003;52.0;69;9;31.0;78.0;5.0;35.0;91.0;132.0;147.0;6.0;7.0;15.0;41.0;98.0;57
12;AC;2004;42.0;71;4;31.0;75.0;7.0;24.0;73.0;104.0;114.0;3.0;7.0;10.0;27.0;80.0;49
