cod;nome;período;de-jovens -UF.csv;mulheres-negras;homens-negros;mulheres-nao-negras;de-jovens-mulheres;de-mulheres-por-armas-de-fogo;de-jovens-homens;homicidios;de-jovens-por-armas-de-fogo;mulheres;por-armas-de-fogo;negros;de-homens-por-armas-de-fogo;homens-nao-negros;nao-negros;homens
12;AC;1980;;;;;4.851;;33.73;8.63;;1.37;3.98;;;;;
12;AC;1981;;;;;2.344;;30.44;9.02;;0.66;2.58;;;;;
12;AC;1982;;;;;4.512;;36.15;12.76;;3.2;5.6;;;;;
12;AC;1983;;;;;6.523;;34.9;9.93;;2.47;3.61;;;;;
12;AC;1984;;;;;6.3;;27.45;10.49;;2.38;3.79;;;;;
12;AC;1985;;;;;4.06;;55.21;14.4;;1.15;6.49;;;;;
12;AC;1986;;;;;3.928;;47.59;16.99;;3.35;6.85;;;;;
12;AC;1987;;;;;17.129;;80.9;26.09;;5.96;13.58;;;;;
12;AC;1988;;;;;5.543;;58.0;19.68;;3.16;11.14;;;;;
12;AC;1989;50.68;;;;7.19;1.53;94.8;23.97;25.34;3.07;12.11;;22.3;;;44.2
12;AC;1990;29.1;;;;7.0;1.99;51.6;15.75;15.87;3.0;8.12;;14.0;;;28.15
12;AC;1991;50.54;;;;10.19;3.39;91.6;25.38;32.55;4.37;15.08;;26.4;;;45.85
12;AC;1992;48.1;;;;15.8;3.3;80.3;24.9;26.81;6.13;12.33;;21.1;;;43.2
12;AC;1993;53.93;;;;4.86;2.31;102.2;26.51;29.42;5.56;13.94;;24.8;;;45.57
12;AC;1994;38.43;;;;7.94;2.26;69.4;19.71;18.42;4.99;9.18;;15.9;;;34.04
12;AC;1995;40.84;;;;7.79;4.0;74.4;22.62;25.13;7.12;12.52;;20.8;;;37.29
12;AC;1996;50.88;;;;13.494;2.09;94.55;21.51;19.46;6.27;12.61;;22.9;;;57.79
12;AC;1997;64.67;;;;8.03;2.42;132.81;19.99;24.84;5.66;11.0;;19.3;;;65.76
12;AC;1998;61.13;;;;7.86;1.96;120.48;21.4;22.19;4.72;11.28;;20.4;;;58.84
12;AC;1999;19.13;;;;5.836;0.76;32.66;9.66;3.81;2.68;2.65;;4.5;;;18.88
12;AC;2000;38.22;4.37;31.22;11.1;10.44;1.38;65.11;19.56;11.98;4.49;7.2;16.97;21.1;123.5;61.12;31.04
12;AC;2001;40.03;3.11;43.59;8.32;9.04;1.0;70.07;21.07;20.01;4.02;9.4;22.61;79.0;77.49;39.82;35.54
12;AC;2002;48.88;4.92;61.57;5.51;6.62;0.97;89.89;25.73;21.73;3.57;11.24;32.07;17.93;98.51;47.07;44.6
12;AC;2003;41.48;3.96;58.66;11.1;9.72;1.58;72.31;24.48;16.49;4.73;9.49;29.58;23.85;85.53;43.53;41.1
12;AC;2004;39.1;2.57;27.2;4.81;4.23;2.14;72.95;18.56;16.16;3.06;7.77;14.79;31.68;50.57;24.74;31.66
12;AC;2005;34.26;3.03;30.63;6.4;7.26;0.3;60.5;18.51;9.2;3.87;5.38;16.68;75.0;44.42;22.83;33.06
12;AC;2006;42.67;3.11;35.46;7.17;4.07;0.58;80.23;23.01;11.55;4.35;7.28;19.52;11.74;56.21;28.58;41.69
12;AC;2007;35.52;3.45;31.27;8.82;8.0;1.13;62.31;19.48;14.8;5.08;7.78;17.4;17.11;38.11;21.52;33.98
12;AC;2008;36.86;1.79;24.48;6.27;4.91;0.0;68.01;19.56;13.1;3.58;5.88;13.19;11.19;29.92;16.54;33.57
12;AC;2009;37.23;2.21;34.56;6.45;5.8;0.54;67.92;22.14;15.75;4.3;8.83;18.66;11.04;14.85;10.06;37.58
12;AC;2010;34.8;4.68;30.05;3.13;6.66;1.84;62.3;22.49;15.99;4.99;8.6;17.33;25.77;33.68;16.56;39.3
12;AC;2011;33.85;3.86;32.38;4.07;8.44;1.29;58.71;21.97;12.05;4.64;6.7;17.81;14.53;14.79;8.94;38.57
12;AC;2012;46.22;4.88;55.89;1.03;5.55;1.01;86.05;27.41;20.59;4.05;11.2;30.12;11.79;20.15;9.92;49.82
12;AC;2013;53.77;9.59;54.58;3.37;10.96;2.24;95.7;30.14;26.21;7.97;12.23;32.76;41.8;24.39;13.47;51.51
