COD;idade da Federação;UF;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
11;Rondônia;RO;1317614.0;1407886.0;1431777.0;1455907.0;1562085.0;1534594.0;1562417.0;1453756.0;1493566.0;1503928.0;1560501.0;1576455.0;1590011.0;1728214.0;1748531.0;1768204.0;1787279.0;1805788.0;1757589.0;1777225.0;1796460.0;1815278.0
12;Acre;AC;541873.0;574355.0;586942.0;600595.0;630328.0;669736.0;686652.0;655385.0;680073.0;691132.0;732793.0;746386.0;758786.0;776463.0;790101.0;803513.0;816687.0;829619.0;869265.0;881935.0;894470.0;906876.0
13;Amazonas;AM;2641251.0;2900240.0;2961801.0;3031068.0;3138726.0;3232330.0;3311026.0;3221940.0;3341096.0;3393369.0;3480937.0;3538387.0;3590985.0;3807921.0;3873743.0;3938336.0;4001667.0;4063614.0;4080611.0;4144597.0;4207714.0;4269995.0
14;Roraima;RR;273160.0;337237.0;346871.0;357302.0;381896.0;391317.0;403344.0;395725.0;412783.0;421499.0;451227.0;460165.0;469524.0;488072.0;496936.0;505665.0;514229.0;522636.0;576568.0;605761.0;631181.0;652713.0
15;Pará;PA;6004854.0;6341736.0;6453683.0;6574993.0;6850181.0;6970586.0;7110465.0;7090378.0;7321493.0;7457119.0;7588078.0;7688593.0;7822205.0;7999729.0;8104880.0;8206923.0;8305359.0;8366628.0;8513497.0;8602865.0;8690745.0;8777124.0
16;Amapá;AP;458796.0;498735.0;516511.0;534835.0;547400.0;594587.0;615715.0;587311.0;613164.0;626609.0;668689.0;684309.0;698602.0;734996.0;750912.0;766679.0;782295.0;797722.0;829494.0;845731.0;861773.0;877613.0
17;Tocantins;TO;1162085.0;1184895.0;1207014.0;1230181.0;1262644.0;1305728.0;1332441.0;1243627.0;1280509.0;1292051.0;1383453.0;1400892.0;1417694.0;1478164.0;1496880.0;1515126.0;1532902.0;1550194.0;1555229.0;1572866.0;1590248.0;1607363.0
21;Maranhão;MA;5480066.0;5730467.0;5803224.0;5873655.0;6021504.0;6103327.0;6184538.0;6118995.0;6305539.0;6367138.0;6569683.0;6645761.0;6714314.0;6794301.0;6850884.0;6904241.0;6954036.0;7000229.0;7035055.0;7075181.0;7114598.0;7153262.0
22;Piauí;PI;2753373.0;2873010.0;2898223.0;2923725.0;2977259.0;3006885.0;3036290.0;3032435.0;3119697.0;3145325.0;3119015.0;3140328.0;3160748.0;3184166.0;3194718.0;3204028.0;3212180.0;3219257.0;3264531.0;3273227.0;3281480.0;3289290.0
23;Ceará;CE;7200167.0;7547620.0;7654535.0;7758441.0;7976563.0;8097276.0;8217085.0;8185250.0;8450527.0;8547809.0;8448055.0;8530155.0;8606005.0;8778576.0;8842791.0;8904459.0;8963663.0;9020460.0;9075649.0;9132078.0;9187103.0;9240580.0
24;Rio Grande do Norte;RN;2684712.0;2815244.0;2852784.0;2888058.0;2962107.0;3003087.0;3043760.0;3013740.0;3106430.0;3137541.0;3168133.0;3198657.0;3228198.0;3373959.0;3408510.0;3442175.0;3474998.0;3507003.0;3479010.0;3506853.0;3534165.0;3560903.0
